name: 0f250527-029e-44c7-9ad4-c076202dca2f num_items: 3990
token, class_id, token_value, token_tf, token_df
bind, @default_class, 2.7984739062958397e-05, 97.0, 33.0
пропуск, @default_class, 1.1251595424255356e-05, 39.0, 31.0
вина, @default_class, 1.6156138372025453e-05, 56.0, 48.0
акт, @default_class, 1.5579133105347864e-05, 54.0, 40.0
батарея, @default_class, 0.00012174803850939497, 422.0, 157.0
встраивать, @default_class, 2.7119231162942015e-05, 94.0, 77.0
path, @default_class, 0.00013559615763369948, 470.0, 128.0
избавиться, @default_class, 6.635556201217696e-05, 230.0, 194.0
изменяемый, @default_class, 1.904116288642399e-05, 66.0, 37.0
передаваемый, @default_class, 4.010184056824073e-05, 139.0, 102.0
port, @default_class, 9.462880552746356e-05, 328.0, 102.0
отдельность, @default_class, 2.509971454855986e-05, 87.0, 81.0
самостоятельный, @default_class, 4.61603922303766e-05, 160.0, 140.0
бюджетный, @default_class, 4.0390343201579526e-05, 140.0, 91.0
number, @default_class, 0.00011424697004258633, 396.0, 116.0
bool, @default_class, 0.00023282147594727576, 807.0, 122.0
расстановка, @default_class, 1.529063047200907e-05, 53.0, 34.0
3g, @default_class, 1.4713625205331482e-05, 51.0, 33.0
h, @default_class, 9.116677392739803e-05, 316.0, 88.0
поведенческий, @default_class, 1.4136619938653894e-05, 49.0, 32.0
фикс, @default_class, 1.154009805759415e-05, 40.0, 30.0
spark, @default_class, 2.4234206648543477e-05, 84.0, 31.0
подмножество, @default_class, 2.1926187400822528e-05, 76.0, 39.0
подарок, @default_class, 7.904967060312629e-05, 274.0, 139.0
моделировать, @default_class, 2.077217686746735e-05, 72.0, 46.0
sms, @default_class, 4.15443537349347e-05, 144.0, 59.0
исходящая, @default_class, 3.606280733947642e-05, 125.0, 59.0
отделить, @default_class, 2.1926187400822528e-05, 76.0, 70.0
должное, @default_class, 2.2503190848510712e-05, 78.0, 76.0
англ, @default_class, 3.4908796806121245e-05, 121.0, 60.0
2004, @default_class, 2.1060679500806145e-05, 73.0, 59.0
items, @default_class, 3.462029417278245e-05, 120.0, 35.0
клуб, @default_class, 2.2214688215171918e-05, 77.0, 47.0
бежать, @default_class, 2.6542225896264426e-05, 92.0, 62.0
устаревший, @default_class, 5.741198765463196e-05, 199.0, 157.0
namespace, @default_class, 7.270261994563043e-05, 252.0, 75.0
internet, @default_class, 3.663981260615401e-05, 127.0, 81.0
отдать, @default_class, 6.02970139880199e-05, 209.0, 172.0
бот, @default_class, 0.0002550361678004265, 884.0, 149.0
банк, @default_class, 7.501064101234078e-05, 260.0, 122.0
bit, @default_class, 2.5965220629586838e-05, 90.0, 42.0
условно, @default_class, 4.298686690162867e-05, 149.0, 98.0
оперировать, @default_class, 2.6542225896264426e-05, 92.0, 75.0
выдающийся, @default_class, 1.8752660253085196e-05, 65.0, 52.0
очищать, @default_class, 1.2405605957610533e-05, 43.0, 38.0
дисплей, @default_class, 0.00015059828001540154, 522.0, 154.0
выгрузка, @default_class, 2.7119231162942015e-05, 94.0, 42.0
params, @default_class, 5.5392472859239206e-05, 192.0, 43.0
кибербезопасность, @default_class, 1.1828600690932944e-05, 41.0, 30.0
tools, @default_class, 3.6351309972815216e-05, 126.0, 73.0
кабинет, @default_class, 5.3949959692545235e-05, 187.0, 92.0
немногий, @default_class, 2.7984739062958397e-05, 97.0, 96.0
недостаточный, @default_class, 2.4234206648543477e-05, 84.0, 81.0
коммит, @default_class, 7.010609988356009e-05, 243.0, 61.0
using, @default_class, 0.0001243445585714653, 431.0, 153.0
повезти, @default_class, 5.5680975492578e-05, 193.0, 149.0
принадлежать, @default_class, 7.126010314095765e-05, 247.0, 198.0
достойный, @default_class, 5.625797712127678e-05, 195.0, 164.0
uri, @default_class, 3.808232577284798e-05, 132.0, 48.0
темнота, @default_class, 1.6444639186374843e-05, 57.0, 44.0
length, @default_class, 6.173952715471387e-05, 214.0, 56.0
напряжение, @default_class, 0.00016531191067770123, 573.0, 160.0
добро, @default_class, 4.356387216830626e-05, 151.0, 126.0
заботиться, @default_class, 3.519729943946004e-05, 122.0, 104.0
изначальный, @default_class, 3.981333793490194e-05, 138.0, 113.0
find, @default_class, 4.327536953496747e-05, 150.0, 77.0
тактовый, @default_class, 4.6448894863715395e-05, 161.0, 53.0
наследник, @default_class, 1.6733141819713637e-05, 58.0, 47.0
пространственный, @default_class, 2.2791693481849506e-05, 79.0, 53.0
низка, @default_class, 4.529488433036022e-05, 157.0, 135.0
поломка, @default_class, 1.8464157619746402e-05, 64.0, 55.0
прикрутить, @default_class, 1.9618166334112175e-05, 68.0, 61.0
функционировать, @default_class, 3.577430470613763e-05, 124.0, 110.0
context, @default_class, 6.577855674549937e-05, 228.0, 67.0
распространяться, @default_class, 6.289353768806905e-05, 218.0, 162.0
энтузиаст, @default_class, 3.750532050617039e-05, 130.0, 95.0
распределить, @default_class, 5.279594915919006e-05, 183.0, 123.0
голосовой, @default_class, 6.087401925469749e-05, 211.0, 116.0
переопределять, @default_class, 1.3559615581471007e-05, 47.0, 38.0
портал, @default_class, 7.760716107441112e-05, 269.0, 148.0
формироваться, @default_class, 6.750957254553214e-05, 234.0, 180.0
родительский, @default_class, 4.298686690162867e-05, 149.0, 73.0
